_id/$oid,Gender,age,AD 1/s1,AD 1/s2,AD 1/s3,AD 1/s4,AD 1/s5,AD 1/s6,AD 1/s7,AD 1/s8,AD 1/s9,AD 2/s1,AD 2/s2,AD 2/s3,AD 2/s4,AD 2/s5,AD 2/s6,AD 2/s7,AD 2/s8,AD 2/s9,AD 3/s1,AD 3/s2,AD 3/s3,AD 3/s4,AD 3/s5,AD 3/s6,AD 3/s7,AD 3/s8,AD 3/s9,__v
595e5808fe420a0011f96f36,male,25-34,4,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
595e5a97fe420a0011f96f37,female,25-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,0
595e5bb2fe420a0011f96f38,male,25-34,3,3,1,4,2,3,4,3,4,3,4,2,5,2,3,4,3,4,4,3,4,5,5,4,1,1,5,0
595e5c36fe420a0011f96f39,female,18-24,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
595e5ce9fe420a0011f96f3a,male,18-24,4,4,5,4,5,2,5,3,5,3,3,3,4,4,3,2,3,2,4,3,5,5,5,4,3,3,4,0
595e5d40fe420a0011f96f3b,male,18-24,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,0
595e61f5fe420a0011f96f3c,male,25-34,4,2,4,4,2,4,4,3,5,3,2,2,4,2,4,3,4,4,2,1,2,4,4,2,4,3,3,0
595e62b1fe420a0011f96f3d,male,25-34,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
595e62dcfe420a0011f96f3e,male,25-34,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
595e6459fe420a0011f96f3f,male,25-34,5,2,4,4,4,2,4,3,3,4,2,4,4,2,2,4,3,4,4,2,4,4,2,2,4,3,4,0
595e64e0fe420a0011f96f40,male,18-24,3,2,3,1,2,2,1,2,2,4,3,4,2,3,3,2,2,2,4,4,3,4,4,4,5,4,4,0
595e6595fe420a0011f96f41,male,18-24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,0
595e65e1fe420a0011f96f42,male,18-24,3,1,5,2,3,3,3,3,3,5,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,0
595e77c1225fde00119e2310,male,25-34,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,0
595e77ed225fde00119e2311,male,18-24,5,3,5,5,5,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
595e795e225fde00119e2312,male,45 and older,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,0
595e7b90225fde00119e2313,male,18-24,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,0
595e7c5b225fde00119e2314,male,18-24,2,2,2,4,4,3,2,3,5,4,5,4,4,4,3,2,2,4,3,4,4,4,4,3,2,3,4,0
595e7d16225fde00119e2315,male,25-34,5,5,5,4,3,3,5,5,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,0
595e97c6bc84b30011e4fe4a,female,18-24,4,2,2,4,3,2,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,0
595f123e1232c20011dbee98,male,18-24,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,0
595f36097625dd0011eacd86,female,25-34,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
